"retweeter","retweeted"
288876158,813286
2323909826,813286
2312882586,813286
2321225124,813286
87562872,109071031
405721647,915192618
1857877442,813286
217664311,813286
222042356,813286
1905504840,813286
276856895,68754498
1349829794,259046614
90550237,813286
1130038520,813286
249399092,813286
456301821,813286
2212693796,41608251
2315839320,813286
422979627,813286
2305553767,813286
1564032842,813286
51951126,813286
218755165,813286
1265769462,813286
558699332,813286
628535386,41608251
258030481,813286
2255182019,813286
1173824917,50482949
322406129,813286
609165225,813286
713095147,813286
49748623,813286
50811808,813286
708385923,813286
19512819,68754498
66983968,813286
340569412,813286
2320133526,813286
1680978690,813286
228984364,813286
1306198968,813286
325621353,813286
2188886161,813286
1173824917,32708979
190975653,813286
2180384294,813286
572840249,32708979
1138265858,813286
19968563,813286
558908628,813286
167991600,813286
2203975074,813286
173875662,76479694
253203383,813286
36749965,888673850
2207732801,888673850
2203975074,813286
393732941,813286
939171373,122526450
1575545688,813286
1222710030,813286
38473023,813286
88797577,813286
2310356959,813286
42858599,813286
1407147020,74035510
35986884,813286
1667909474,813286
179496222,813286
2179311085,74035510
255816376,54299209
2317451659,813286
138103866,813286
212447649,54299209
2323010562,813286
113469866,59609288
29613273,50482949
2209211161,813286
1928233718,50482949
43236893,50482949
1928233718,88012558
13651772,76376525
50440593,74035510
19998905,76692861
878878591,813286
1366778569,915192618
520814829,51228973
340586303,74035510
2181287320,813286
2240627065,813286
130748481,813286
534879173,813286
2300710622,813286
607582668,813286
919476812,74035510
2170232667,813286
64147321,813286
68311361,813286
31441382,813286
273540148,813286
140965047,813286
2298216150,813286
2283080866,813286
1527009206,1604366701
34508558,813286
1645413738,74035510
1482996716,813286
1714598414,1604366701
16959406,59609288
179953612,813286
36763383,39187465
164044261,30313925
933788114,813286
2204103144,813286
78664837,14240875
151690272,813286
2308540377,813286
15603299,813286
616593411,813286
195375377,813286
53503202,813286
180088309,813286
110785983,15667802
2294193683,813286
570760237,813286
1480487906,813286
2274879884,813286
389753126,813286
2235582994,813286
2310537456,813286
608816343,813286
126134524,105325168
519818299,813286
220141118,813286
827561071,30313925
63608810,813286
166207695,30313925
2326030140,813286
389728673,2314055840
29737622,813286
827561071,30313925
547291601,813286
2220130250,813286
370135213,813286
166207695,30313925
280065310,813286
584885262,813286
1667925091,813286
175910607,813286
146590497,267377116
593054549,813286
716742725,813286
65656355,14240875
1710412273,109071031
958372422,813286
1532805044,1604366701
261799657,813286
1710412273,1102161270
805529760,813286
1559356867,813286
372341514,51330975
40916412,105334381
2305749901,1341994638
14327615,51330975
29894168,813286
38701457,50482949
2312404420,813286
717076296,74035510
2305986163,1341994638
49530775,813286
624300777,813286
251216095,51330975
188511243,813286
1353868238,813286
165258079,813286
225268958,813286
76574312,813286
541043885,813286
1910941826,813286
67213532,813286
559012175,813286
439525258,72198806
87981471,78671324
174098184,109071031
500154514,259046614
17133657,290135058
392319329,813286
133899281,813286
70918926,813286
594240171,1710412273
176794532,813286
1918473656,813286
769148022,259046614
18506686,78671324
756193178,813286
1973034794,813286
917581344,813286
1214410454,255128753
119642250,51330975
241010611,431871482
309045234,813286
77231473,55133916
67364035,51330975
1587110094,813286
2205576043,24800281
19625943,51330975
214620546,191076340
2272466689,813286
456267454,813286
309417188,14450765
193790785,813286
480084640,813286
613887988,78671324
2297975920,1341994638
29733564,813286
811232569,32708979
2245905694,813286
497128316,813286
325800304,54299209
30584980,1687954220
36673331,961486051
285784313,1214410454
1042764618,813286
1733420300,1104425378
2322451631,813286
1327970954,813286
454001546,813286
1597424424,813286
271106348,813286
1733420300,72198806
105910761,813286
714537260,813286
543147453,813286
17479538,1214410454
1337256193,193169490
1667909474,1214410454
599666249,813286
1349829794,1214410454
165915079,70188601
197631802,186045114
237836465,813286
1860727694,20295978
1525816916,813286
219472234,813286
284368294,813286
2275937613,813286
64106757,813286
1575720552,813286
1909391822,15667802
244098716,813286
503794853,68754498
534662877,1604366701
1630500884,813286
1705818140,813286
943706150,813286
2307233394,1341994638
148054966,813286
2319559704,813286
22934332,494583213
1102161270,290135058
1628889259,813286
398281526,1967028319
508076243,813286
279646345,15808765
616787689,813286
154382286,813286
33326970,1604366701
262637172,191076340
1247894629,15667802
1947459427,813286
1636489069,65703588
16075617,24800281
114337987,233783568
714481286,1341994638
1683133992,72198806
1683133992,72198806
1596002948,813286
148843403,813286
1683133992,72198806
2242182856,813286
148843403,813286
41472851,813286
119642250,210944813
21034383,351764217
1549231957,390276551
2238129180,813286
1266143040,72198806
448291650,390276551
524623571,390276551
61016082,1687954220
2190187865,813286
2324546640,813286
48561717,26267040
79838661,233783568
1361962795,813286
1714381350,813286
1159047036,390276551
1140190201,76692861
17479538,1214410454
304211480,1154588840
230097168,813286
595137627,813286
1550722878,813286
2318151132,813286
1405337395,250188760
271771041,813286
296056663,813286
82781984,250188760
197456523,250188760
1447496916,390276551
99177094,813286
2272531993,250188760
1658827848,250188760
244273031,1214410454
91734908,76692861
1961902753,813286
500932519,2180068374
238350762,390276551
2178748327,109071031
52722567,813286
560037348,68754498
103800836,250188760
1843795526,813286
2310800201,125342074
2296973810,14240875
332494973,250188760
311731850,813286
256336504,813286
340480265,38477209
17823761,813286
147172184,38477209
49530775,250188760
53503202,1214410454
16819937,390276551
1965526532,813286
629779238,91734908
288584040,38477209
1627120838,38477209
1423670684,88012558
581001305,390276551
70590748,813286
28548566,38477209
15935549,38477209
277856441,390276551
700060452,38477209
48265817,813286
1944653984,813286
277856441,1214410454
27313635,38477209
16075320,77231473
751778144,1214410454
1099299931,250188760
130350817,813286
858944791,813286
2324196594,813286
335729045,38477209
1541989867,38477209
21819182,390276551
2270752530,813286
71668464,78419512
408905990,32708979
16917772,78419512
797068946,813286
250921038,38477209
282730059,38477209
1365631760,250188760
528989913,38477209
1593730014,250188760
2326353242,813286
244900764,813286
2326353242,813286
424313836,38477209
432172885,813286
91734908,813286
1330679918,390276551
22225610,90694084
21567649,813286
206683761,813286
335378209,813286
1683553004,813286
334403299,813286
169425398,390276551
26070572,813286
2291605543,813286
461273930,813286
487112770,813286
243357541,813286
2316533048,813286
2305512740,1341994638
30027538,813286
857207742,813286
857207742,813286
1223057534,813286
2173646835,1604366701
1038823279,51228973
1038823279,51228973
1557312804,813286
1038823279,51228973
933138786,813286
1038823279,51228973
815871284,38477209
51649661,813286
2173646835,1604366701
2321396489,813286
2322849920,15442036
23026561,813286
273259014,813286
2299247453,1341994638
2314583196,2289153194
75200889,30313925
75200889,30313925
75200889,30313925
20293500,1687954220
2297976879,250188760
387763523,813286
1360922641,38477209
91734908,55133916
299983531,1473324710
14986009,250188760
2326372051,813286
222517527,813286
299983531,77005238
43119995,55133916
435736109,77005238
127422371,1934787661
474563808,1604366701
16596056,813286
75200889,30313925
22789922,1604366701
336899184,1341994638
2326355540,813286
75200889,30313925
2319453359,813286
75200889,30313925
32686575,1934787661
297765041,813286
1424371416,813286
75200889,30313925
75200889,30313925
47471605,813286
2230875222,813286
565797499,253647516
75200889,30313925
75200889,30313925
500361961,813286
1602752804,38477209
47471605,50482949
75200889,30313925
75200889,30313925
32420474,38477209
75200889,30313925
75200889,30313925
75200889,30313925
75200889,30313925
75200889,369505837
75200889,30313925
128511071,813286
75200889,30313925
1957522346,38477209
75200889,30313925
75200889,30313925
75200889,30313925
251625760,1934787661
78640054,41608251
86709951,15935383
75200889,15824288
49756621,813286
112098803,2289153194
1360922641,253647516
528349176,34694337
2268437930,1214410454
79364420,32708979
18554346,34694337
256246580,16000856
263675800,813286
137739213,32708979
716564379,813286
80188347,91734908
91734908,50482949
359950567,250188760
137739213,1604366701
312108472,90694084
75200889,30313925
75200889,30313925
613775359,813286
868202256,68754498
110050237,76692861
80793585,18879998
20407152,813286
1736601720,1604366701
317907435,390276551
399159506,32708979
40388826,250188760
312108472,250188760
52180914,15667802
499800496,50482949
33687392,12055942
350391154,12055942
2309522989,15667802
231632516,250188760
19923215,15667802
253647516,1933077001
24787272,38477209
16635044,390276551
1195481730,813286
307841548,813286
29741482,351764217
45582667,813286
1933777994,15667802
272821594,813286
17372783,32708979
1397421727,537487691
64027344,32708979
1955044266,390276551
1933829408,212808638
1472395142,76546459
400352771,91734908
1528362258,32708979
1528362258,32708979
127174491,813286
1246994516,813286
252431613,390276551
189806241,390276551
1043931564,16849637
1043931564,16849637
287545295,390276551
31223236,16849637
37552089,212808638
1002216690,250188760
97976809,459269265
324167925,813286
1002216690,90694084
482714696,1934787661
1027668114,813286
1541989867,390276551
33180034,390276551
106905794,32708979
33596840,813286
76280043,59274071
45787297,212808638
260335091,212808638
247020221,813286
556403898,813286
16687237,813286
16687237,813286
345108333,813286
1591511972,36790684
409886625,38477209
2281828358,296072389
515577621,296072389
21253906,813286
42702682,296072389
38080693,1102161270
17372783,1604366701
2326129790,813286
61125151,464328562
252431613,296072389
1388302729,555769933
35037820,555769933
191767129,813286
389797127,813286
20389987,464328562
405137225,1934787661
170186601,813286
522452889,555769933
2189164615,70188601
21537408,16000856
1918473656,32708979
2259552474,1242580045
409886625,250188760
292461565,32708979
1762934606,813286
331464787,813286
1180476883,91734908
51276057,813286
444283883,813286
159543898,813286
50056314,1934787661
803826720,91734908
266998799,296072389
308778581,91734908
137918953,813286
2153712449,70188601
130214290,290135058
1300091276,555769933
2214661435,313550838
196558787,813286
734943554,813286
2260311662,813286
433911285,813286
2260311662,813286
2231348034,813286
964720886,1531521632
29654055,813286
298997025,296072389
533469077,1934787661
154945079,49971121
992081976,296072389
1036721035,78599720
28277980,78599720
1123127678,555769933
1289230596,16000856
111231004,115979444
1721163391,321774180
721141764,296072389
576215318,296072389
40978685,813286
49653438,2291751552
1062993338,813286
40316333,813286
189610622,813286
49892379,813286
34493217,813286
256668397,813286
75704294,813286
326892463,226954021
22192635,296072389
69120073,813286
619663480,87060818
887375624,813286
6123632,813286
235475262,813286
113992934,813286
792693049,91734908
1687469089,555769933
12278352,813286
408594424,813286
119642250,813286
2169188432,813286
242845272,813286
193566462,212808638
275907720,813286
30294503,813286
587999175,813286
587999175,813286
911899652,813286
387501380,813286
