"bioid","id","name","gender","type","party","twitter","facebook","youtube"
"S000583","01075","Lamar Smith","M","rep","Republican","LamarSmithTX21","LamarSmithTX21","lamarsmithtexas21"
"S000770","01531","Debbie Stabenow","F","sen","Democrat","SenStabenow",NA,"senatorstabenow"
"S001145","01588","Janice D. Schakowsky","F","rep","Democrat","JanSchakowsky","janschakowsky","repschakowsky"
"S001148","01590","Michael K. Simpson","M","rep","Republican","CongMikeSimpson","96007744606","CongMikeSimpson"
"S001150","01635","Adam B. Schiff","M","rep","Democrat","RepAdamSchiff","RepAdamSchiff","adamschiff"
"S001154","01681","Bill Shuster","M","rep","Republican","RepBillShuster","Rep.Shuster","repshuster"
"S001156","01757","Linda T. Sánchez","F","rep","Democrat","RepLindaSanchez","CongresswomanLindaSanchez","LindaTSanchez"
"S001157","01722","David Scott","M","rep","Democrat","RepDavidScott","113303673339","RepDavidScott"
"S001165","01818","Albio Sires","M","rep","Democrat","RepSires","81058818750","RepSiresNJ13"
"S001168","01854","John P. Sarbanes","M","rep","Democrat","RepSarbanes","RepSarbanes",NA
"S001170","01861","Carol Shea-Porter","F","rep","Democrat","repsheaporter","repsheaporter",NA
"S001172","01860","Adrian Smith","M","rep","Republican","RepAdrianSmith",NA,"RepAdrianSmith"
"S001175","01890","Jackie Speier","F","rep","Democrat","RepSpeier","JackieSpeier","jackiespeierca12"
"S001176","01892","Steve Scalise","M","rep","Republican","SteveScalise","RepSteveScalise","RepSteveScalise"
"S001177","01962","Gregorio Kilili Camacho Sablan","M","rep","Democrat",NA,"153423912663","CongressmanSablan"
"S001180","01950","Kurt Schrader","M","rep","Democrat","RepSchrader","repschrader","repkurtschrader"
"S001181","01901","Jeanne Shaheen","F","sen","Democrat","SenatorShaheen","SenatorShaheen","senatorshaheen"
"S001183","01994","David Schweikert","M","rep","Republican","RepDavid","repdavidschweikert","RepDavidSchweikert"
"S001184","02056","Tim Scott","M","sen","Republican","SenatorTimScott","SenatorTimScott","SenatorTimScott"
"S001185","01988","Terri A. Sewell","F","rep","Democrat","RepTerriSewell","RepSewell","RepSewell"
"S001187","02047","Steve Stivers","M","rep","Republican","RepSteveStivers","116058275133542","RepSteveStivers"
"S001189","02009","Austin Scott","M","rep","Republican","AustinScottGA08","RepAustinScott","RepAustinScott"
"S001190","02124","Bradley Scott Schneider","M","rep","Democrat","repschneider","CongressmanBradSchneider","RepBradSchneider"
"S001191","02099","Kyrsten Sinema","F","rep","Democrat","RepSinema","CongresswomanSinema","repsinema"
"S001192","02168","Chris Stewart","M","rep","Republican","RepChrisStewart","RepChrisStewart","repchrisstewart"
"S001193","02104","Eric Swalwell","M","rep","Democrat","RepSwalwell","CongressmanEricSwalwell","ericswalwell"
"S001194","02173","Brian Schatz","M","sen","Democrat","SenBrianSchatz","SenBrianSchatz","senbrianschatz"
"S001195","02191","Jason Smith","M","rep","Republican","RepJasonSmith","repjasonsmith","RepJasonSmith"
"S001196","02263","Elise M. Stefanik","F","rep","Republican","RepStefanik","RepEliseStefanik",NA
"S001197","02289","Ben Sasse","M","sen","Republican","SenSasse","SenatorSasse",NA
"S001198","02290","Dan Sullivan","M","sen","Republican","SenDanSullivan","SenDanSullivan",NA
"S001199",NA,"Lloyd Smucker","M","rep","Republican","RepSmucker",NA,NA
"S001200",NA,"Darren Soto","M","rep","Democrat","RepDarrenSoto","CongressmanDarrenSoto","repdarrensoto"
"S001201",NA,"Thomas R. Suozzi","M","rep","Democrat","RepTomSuozzi","RepTomSuozzi",NA
"S001202",NA,"Luther Strange","M","sen","Republican","SenatorStrange",NA,NA
"T000193","01151","Bennie G. Thompson","M","rep","Democrat","BennieGThompson","CongressmanBennieGThompson","RepBennieThompson"
"T000238","01155","Mac Thornberry","M","rep","Republican","MacTXPress","repmacthornberry","RepMacThornberry"
"T000250","01534","John Thune","M","sen","Republican","SenJohnThune",NA,"johnthune"
"T000460","01593","Mike Thompson","M","rep","Democrat","RepThompson","RepMikeThompson","CongressmanMThompson"
"T000461","02085","Patrick J. Toomey","M","sen","Republican","SenToomey","senatortoomey","sentoomey"
"T000462","01664","Patrick J. Tiberi","M","rep","Republican","pattiberi","RepPatTiberi","PatTiberi"
"T000463","01741","Michael R. Turner","M","rep","Republican","RepMikeTurner","RepMikeTurner","CongressmanTurner"
"T000464","01829","Jon Tester","M","sen","Democrat","SenatorTester","senatortester","senatorjontester"
"T000465","01884","Niki Tsongas","F","rep","Democrat","NikiInTheHouse","RepTsongas","RepTsongas"
"T000467","01952","Glenn Thompson","M","rep","Republican","CongressmanGT","CongressmanGT","CongressmanGT"
"T000468","01940","Dina Titus","F","rep","Democrat","RepDinaTitus","CongresswomanTitus","CongresswomanTitus"
"T000469","01942","Paul Tonko","M","rep","Democrat","RepPaulTonko","reppaultonko","reppaultonko"
"T000470","01997","Scott R. Tipton","M","rep","Republican","RepTipton","CongressmanScottTipton","RepScottTipton"
"T000472","02110","Mark Takano","M","rep","Democrat","RepMarkTakano","RepMarkTakano","RepMarkTakano"
"T000474","02231","Norma J. Torres","F","rep","Democrat","NormaJTorres","RepNormaTorres",NA
"T000475","02250","David A. Trott","M","rep","Republican","repdavetrott","RepDaveTrott",NA
"T000476","02291","Thom Tillis","M","sen","Republican","senthomtillis","SenatorThomTillis",NA
"T000477",NA,"Scott Taylor","M","rep","Republican","RepScottTaylor",NA,NA
"T000478",NA,"Claudia Tenney","F","rep","Republican","RepTenney","RepClaudiaTenney",NA
"U000031","01177","Fred Upton","M","rep","Republican","RepFredUpton","RepFredUpton","RepFredUpton"
"U000039","01567","Tom Udall","M","sen","Democrat","SenatorTomUdall","senatortomudall","senatortomudall"
"V000081","01184","Nydia M. Velázquez","F","rep","Democrat","NydiaVelazquez","8037068318","nydiavelazquez"
"V000108","01188","Peter J. Visclosky","M","rep","Democrat","RepVisclosky","repvisclosky","PeteVisclosky1"
"V000128","01729","Chris Van Hollen","M","sen","Democrat","ChrisVanHollen","chrisvanhollen","RepChrisVanHollen"
"V000129","02105","David G. Valadao","M","rep","Republican","RepDavidValadao","CongressmanDavidValadao","congressmanvaladao"
"V000130","02112","Juan Vargas","M","rep","Democrat","RepJuanVargas","RepJuanVargas","RepJuanVargas"
"V000131","02166","Marc A. Veasey","M","rep","Democrat","RepVeasey","CongressmanMarcVeasey","marcveasey"
"V000132","02167","Filemon Vela","M","rep","Democrat","RepFilemonVela","USCongressmanFilemonVela","RepFilemonVela"
"W000187","01205","Maxine Waters","F","rep","Democrat","MaxineWaters","MaxineWaters","MaxineWaters"
"W000437","01226","Roger F. Wicker","M","sen","Republican","SenatorWicker","SenatorWicker","SenatorWicker"
"W000779","01247","Ron Wyden","M","sen","Democrat","RonWyden",NA,"senronwyden"
"W000791","01596","Greg Walden","M","rep","Republican","RepGregWalden","repgregwalden","RepGregWalden"
"W000795","01688","Joe Wilson","M","rep","Republican","RepJoeWilson","JoeWilson","RepJoeWilson"
"W000797","01777","Debbie Wasserman Schultz","F","rep","Democrat","RepDWStweets","RepDWS","RepWassermanSchultz"
"W000798","01855","Tim Walberg","M","rep","Republican","RepWalberg","RepWalberg","RepWalberg"
"W000799","01856","Timothy J. Walz","M","rep","Democrat","RepTimWalz",NA,"1529tjw"
"W000800","01879","Peter Welch","M","rep","Democrat","PeterWelch","PeterWelch","reppeterwelch"
"W000802","01823","Sheldon Whitehouse","M","sen","Democrat","SenWhitehouse","SenatorWhitehouse","SenatorWhitehouse"
"W000804","01886","Robert J. Wittman","M","rep","Republican","RobWittman","RepRobWittman","RobWittman"
"W000805","01897","Mark R. Warner","M","sen","Democrat","MarkWarner","MarkRWarner","SenatorMarkWarner"
"W000806","02002","Daniel Webster","M","rep","Republican","RepWebster","RepWebster","repdanwebster"
"W000808","02004","Frederica S. Wilson","F","rep","Democrat","RepWilson","RepWilson","repfredericawilson"
"W000809","01991","Steve Womack","M","rep","Republican","Rep_SteveWomack","RepSteveWomack","CongressmanWomack"
"W000810","02008","Rob Woodall","M","rep","Republican","RepRobWoodall","RepRobWoodall","RobWoodallGA07"
"W000812","02137","Ann Wagner","F","rep","Republican","RepAnnWagner","RepAnnWagner",NA
"W000813","02128","Jackie Walorski","F","rep","Republican","RepWalorski","RepJackieWalorski","repwalorski"
"W000814","02161","Randy K. Weber, Sr.","M","rep","Republican","TXRandy14","TXRandy14","TXRandy14"
"W000815","02152","Brad R. Wenstrup","M","rep","Republican","RepBradWenstrup","RepBradWenstrup","repbradwenstrup"
"W000816","02165","Roger Williams","M","rep","Republican","RepRWilliams","RepRogerWilliams",NA
"W000817","02182","Elizabeth Warren","F","sen","Democrat","SenWarren","senatorelizabethwarren","senelizabethwarren"
"W000819","02255","Mark Walker","M","rep","Republican","RepMarkWalker","RepMarkWalker",NA
"W000820","02232","Mimi Walters","F","rep","Republican","RepMimiWalters","RepMimiWalters",NA
"W000821","02224","Bruce Westerman","M","rep","Republican","RepWesterman","RepWesterman",NA
"W000822","02259","Bonnie Watson Coleman","F","rep","Democrat","RepBonnie","RepBonnie",NA
"Y000033","01256","Don Young","M","rep","Republican","RepDonYoung","RepDonYoung","RepDonYoung"
"Y000062","01853","John A. Yarmuth","M","rep","Democrat","RepJohnYarmuth","214258646163","RepJohnYarmuth"
"Y000063","02021","Kevin Yoder","M","rep","Republican","RepKevinYoder","CongressmanKevinYoder","RepYoder"
"Y000064","02019","Todd Young","M","sen","Republican","SenToddYoung","SenatorToddYoung","RepToddYoung"
"Y000065","02115","Ted S. Yoho","M","rep","Republican","RepTedYoho","CongressmanTedYoho","RepTedYoho"
"Y000066","02242","David Young","M","rep","Republican","RepDavidYoung","RepDavidYoung",NA
"Z000017","02261","Lee M. Zeldin","M","rep","Republican","RepLeeZeldin","RepLeeZeldin",NA
